origin,destination,path
Абакан,Пермь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь
Абакан,Пермь,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь
Абакан,Пермь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Набережные Челны — Ижевск — Пермь
Абакан,Пермь,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Екатеринбург — Пермь
Абакан,Петрозаводск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Санкт-Петербург — Петрозаводск
Абакан,Петрозаводск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Вологда — Медвежьегорск — Петрозаводск
Абакан,Петрозаводск,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Санкт-Петербург — Петрозаводск
Абакан,Петрозаводск,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Пенза — Рязань — Москва — Санкт-Петербург — Петрозаводск
Абакан,Ростов-на-Дону,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону
Абакан,Ростов-на-Дону,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж — Ростов-на-Дону
Абакан,Ростов-на-Дону,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону
Абакан,Ростов-на-Дону,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону
Абакан,Рязань,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Пенза — Рязань
Абакан,Рязань,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Пенза — Рязань
Абакан,Рязань,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Пенза — Рязань
Абакан,Рязань,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Рязань
Абакан,Санкт-Петербург,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Санкт-Петербург
Абакан,Санкт-Петербург,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Санкт-Петербург
Абакан,Санкт-Петербург,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Пенза — Рязань — Москва — Санкт-Петербург
Абакан,Санкт-Петербург,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Кострома — Ярославль — Москва — Санкт-Петербург
Абакан,Саратов,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов
Абакан,Саратов,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов
Абакан,Саратов,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Курган — Челябинск — Уфа — Тольятти — Саратов
Абакан,Саратов,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Пермь — Киров — Ярославль — Москва — Рязань — Пенза — Тольятти — Саратов
Абакан,Свободный,Абакан — Красноярск — Иркутск — Улан-Удэ — Чита — Сковородино — Свободный
Абакан,Севастополь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Мариуполь — Мелитополь — Симферополь — Севастополь
Абакан,Севастополь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж — Ростов-на-Дону — Мариуполь — Мелитополь — Симферополь — Севастополь
Абакан,Севастополь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Краснодар — Керчь — Симферополь — Севастополь
Абакан,Севастополь,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Мариуполь — Мелитополь — Симферополь — Севастополь
Абакан,Симферополь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Мариуполь — Мелитополь — Симферополь
Абакан,Симферополь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Воронеж — Ростов-на-Дону — Мариуполь — Мелитополь — Симферополь
Абакан,Симферополь,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Краснодар — Керчь — Симферополь
Абакан,Симферополь,Абакан — Красноярск — Кемерово — Новосибирск — Омск — Тюмень — Екатеринбург — Уфа — Тольятти — Саратов — Волгоград — Ростов-на-Дону — Мариуполь — Мелитополь — Симферополь
Абакан,Сковородино,Абакан — Красноярск — Иркутск — Улан-Удэ — Чита — Сковородино
Абакан,Сургут,Абакан — Красноярск — Кемерово — Новосибирск — Тюмень — Сургут
